id,depth,qr,carbon,lat,lon,elevation,slope,ndvi,gssurgo_c
332a,a,621,1.89,36.2434519,-85.9074297,151.59,74.72,0.73,4370
332b,b,629,1.05,36.2434519,-85.9074297,151.59,74.72,0.73,4370
46a,a,458,1.86,36.24342864,-85.90733624,151.25,81.66,0.73,4370
46b,b,459,1.04,36.24342864,-85.90733624,151.25,81.66,0.73,4370
207b,b,882,0.94,36.24375742,-85.91889605,147.33,307.23,0.63,6292
207a,a,884,1.56,36.24375742,-85.91889605,147.33,307.23,0.63,6292
230b,b,712,1.44,36.24093129,-85.91635111,150.48,229.76,0.7,4370
230a,a,713,2.29,36.24093129,-85.91635111,150.48,229.76,0.7,4370
159a,a,755,1.74,36.24493495,-85.91501505,152.06,59.1,0.7,4370
159b,b,757,1.1,36.24493495,-85.91501505,152.06,59.1,0.7,4370
307a,a,748,1.56,36.24421121,-85.91436834,153,18.78,0.74,4370
307b,b,868,0.98,36.24421121,-85.91436834,153,18.78,0.74,4370
168a,a,724,1.67,36.24306219,-85.91822353,149.84,296.27,0.67,4496
168b,b,726,0.96,36.24306219,-85.91822353,149.84,296.27,0.67,4496
228a,a,780,1.72,36.24495051,-85.91633746,150.96,272.52,0.73,4496
228b,b,784,1.39,36.24495051,-85.91633746,150.96,272.52,0.73,4496
129b,b,645,1.39,36.2434728,-85.90763776,152.99,67.07,0.73,4370
129a,a,648,2.05,36.2434728,-85.90763776,152.99,67.07,0.73,4370
14a,a,749,2.06,36.24481428,-85.91508681,152.42,53.88,0.68,4370
14b,b,754,1.25,36.24481428,-85.91508681,152.42,53.88,0.68,4370
131a,a,818,1.76,36.24323383,-85.90860072,161.88,52.46,0.72,4496
131b,b,829,0.83,36.24323383,-85.90860072,161.88,52.46,0.72,4496
77a,a,668,1.95,36.24318683,-85.90737531,151.73,89.53,0.7,4370
77b,b,673,1.01,36.24318683,-85.90737531,151.73,89.53,0.7,4370
69a,a,638,1.75,36.24441147,-85.90827314,152.33,90,0.7,4370
69b,b,640,1.04,36.24441147,-85.90827314,152.33,90,0.7,4370
13b,b,671,1.1,36.24509608,-85.91017785,153.31,61.19,0.72,4370
13a,a,672,1.75,36.24509608,-85.91017785,153.31,61.19,0.72,4370
317b,b,559,0.51,36.24576322,-85.90701736,150.62,35.31,0.61,4496
317a,a,562,1.65,36.24576322,-85.90701736,150.62,35.31,0.61,4496
324a,a,516,2.06,36.24587035,-85.90844175,152.56,25.72,0.67,4496
324b,b,517,1.04,36.24587035,-85.90844175,152.56,25.72,0.67,4496
276a,a,605,1.48,36.24457862,-85.91218721,159.42,338.52,0.55,4496
276b,b,615,0.77,36.24457862,-85.91218721,159.42,338.52,0.55,4496
183a,a,822,1.29,36.24337545,-85.91732677,150.86,296.52,0.7,4496
183b,b,832,0.86,36.24337545,-85.91732677,150.86,296.52,0.7,4496
97a,a,910,2.24,36.23942735,-85.91613748,160.62,12.94,0.76,4370
97b,b,932,1.3,36.23942735,-85.91613748,160.62,12.94,0.76,4370
52b,b,417,0.96,36.24532019,-85.90780788,152.57,44.32,0.67,4496
52a,a,418,1.48,36.24532019,-85.90780788,152.57,44.32,0.67,4496
103a,a,361,1.31,36.24582335,-85.90957757,151.51,306.28,0.63,4496
103b,b,362,0.63,36.24582335,-85.90957757,151.51,306.28,0.63,4496
327a,a,553,1.69,36.24439564,-85.90835156,152.33,0,0.7,4370
327b,b,628,0.86,36.24439564,-85.90835156,152.33,0,0.7,4370
357b,b,585,0.95,36.24061348,-85.91343465,171.42,196.92,0.51,4370
357a,a,602,2.19,36.24061348,-85.91343465,171.42,196.92,0.51,4370
125b,b,456,0.94,36.24321716,-85.90714195,150.33,89.68,0.69,4370
125a,a,457,1.81,36.24321716,-85.90714195,150.33,89.68,0.69,4370
242b,b,545,0.56,36.24273211,-85.91661206,153.18,321.86,0.66,4370
242a,a,554,1.5,36.24273211,-85.91661206,153.18,321.86,0.66,4370
345a,a,716,1.7,36.24332046,-85.91731174,150.86,296.52,0.7,4496
345b,b,717,0.85,36.24332046,-85.91731174,150.86,296.52,0.7,4496
53b,b,551,1,36.245569,-85.90707937,151.03,38.69,0.65,4496
53a,a,558,1.46,36.245569,-85.90707937,151.03,38.69,0.65,4496
361a,a,980,1.4,36.2420933,-85.9162875,157.15,278.8,0.57,4370
361b,b,981,0.71,36.2420933,-85.9162875,157.15,278.8,0.57,4370
63a,a,344,2.07,36.24733025,-85.90857548,147.78,27.51,0.58,6292
63b,b,354,1.05,36.24733025,-85.90857548,147.78,27.51,0.58,6292
64b,b,358,0.77,36.24578053,-85.90947508,151.62,287.36,0.68,4496
188a,a,626,1.54,36.24523203,-85.91263295,151.83,273.01,0.68,4370
188b,b,653,0.78,36.24523203,-85.91263295,151.83,273.01,0.68,4370
7a,a,891,2.57,36.24252983,-85.90803369,160.2,69.15,0.7,4496
7b,b,892,1.29,36.24252983,-85.90803369,160.2,69.15,0.7,4496
134a,a,537,2.14,36.24505657,-85.9062174,149.07,91.52,0.57,4370
134b,b,538,1.93,36.24505657,-85.9062174,149.07,91.52,0.57,4370
89a,a,758,1.44,36.24538732,-85.91516216,151.27,34.39,0.68,4496
89b,b,759,0.77,36.24538732,-85.91516216,151.27,34.39,0.68,4496
162a,a,899,1.66,36.23971879,-85.91743536,163.33,17.61,0.74,4496
162b,b,902,1.13,36.23971879,-85.91743536,163.33,17.61,0.74,4496
263a,a,575,1.85,36.23997965,-85.91392823,165.32,269.08,0.44,4370
263b,b,589,1.03,36.23997965,-85.91392823,165.32,269.08,0.44,4370
61b,b,475,0.95,36.24514822,-85.90624144,149.07,89.92,0.57,4370
61a,a,541,1.73,36.24514822,-85.90624144,149.07,89.92,0.57,4370
16a,a,681,2.49,36.24493466,-85.91090376,157.72,13.77,0.62,4370
16b,b,684,0.74,36.24493466,-85.91090376,157.72,13.77,0.62,4370
358b,b,523,1.04,36.24063299,-85.91336075,171.38,173.51,0.51,4370
358a,a,587,2.08,36.24063299,-85.91336075,171.38,173.51,0.51,4370
142a,a,805,1.84,36.2448003,-85.91095665,159.25,0.84,0.53,4370
142b,b,806,0.75,36.2448003,-85.91095665,159.25,0.84,0.53,4370
132a,a,862,1.53,36.23981008,-85.91675079,160.14,23.46,0.75,4496
132b,b,863,0.92,36.23981008,-85.91675079,160.14,23.46,0.75,4496
108a,a,425,1.82,36.24541296,-85.90767058,152.34,41.06,0.67,4496
108b,b,426,0.95,36.24541296,-85.90767058,152.34,41.06,0.67,4496
150a,a,793,2.07,36.243437,-85.90955774,165.48,14.76,0.68,4496
150b,b,794,0.92,36.243437,-85.90955774,165.48,14.76,0.68,4496
110a,a,883,1.94,36.24236729,-85.90794187,159.9,81.36,0.73,4496
110b,b,994,1.22,36.24236729,-85.90794187,159.9,81.36,0.73,4496
344b,b,837,0.88,36.24434703,-85.91788535,147.62,326.43,0.7,6292
344a,a,843,1.38,36.24434703,-85.91788535,147.62,326.43,0.7,6292
240b,b,847,0.87,36.24038304,-85.9098676,166.65,351.92,0.68,4496
240a,a,853,2.03,36.24038304,-85.9098676,166.65,351.92,0.68,4496
70b,b,403,0.87,36.24572508,-85.9086579,152.63,2.03,0.67,4496
70a,a,404,1.85,36.24572508,-85.9086579,152.63,2.03,0.67,4496
87a,a,631,1.95,36.24533615,-85.91008013,152.62,61.85,0.67,4370
87b,b,632,0.98,36.24533615,-85.91008013,152.62,61.85,0.67,4370
305b,b,865,1.33,36.24393645,-85.91441007,155.1,17.82,0.77,4370
305a,a,1005,2.17,36.24393645,-85.91441007,155.1,17.82,0.77,4370
224a,a,807,1.88,36.24453618,-85.9174419,147.78,321.24,0.68,4496
224b,b,848,0.83,36.24453618,-85.9174419,147.78,321.24,0.68,4496
337b,b,838,1.12,36.24449464,-85.91744947,147.78,321.24,0.68,4496
337a,a,1000,2.18,36.24449464,-85.91744947,147.78,321.24,0.68,4496
333a,a,735,1.13,36.2439452,-85.91574011,152.03,251.68,0.79,4370
333b,b,739,0.7,36.2439452,-85.91574011,152.03,251.68,0.79,4370
68a,a,975,2.08,36.24230945,-85.90934263,166.8,128.93,0.64,4496
68b,b,976,1.18,36.24230945,-85.90934263,166.8,128.93,0.64,4496
213b,b,800,1,36.24305438,-85.91782158,150.3,312.73,0.68,4496
213a,a,803,1.78,36.24305438,-85.91782158,150.3,312.73,0.68,4496
227a,a,308,2.15,36.24146467,-85.91008711,166.18,343.31,0.77,4496
227b,b,321,0.97,36.24146467,-85.91008711,166.18,343.31,0.77,4496
266b,b,596,0.78,36.24013929,-85.9139653,165.38,260.29,0.43,4370
266a,a,597,1.8,36.24013929,-85.9139653,165.38,260.29,0.43,4370
347a,a,514,1.81,36.24512675,-85.9092254,152.09,272.67,0.72,4370
347b,b,515,1.11,36.24512675,-85.9092254,152.09,272.67,0.72,4370
170b,b,630,0.84,36.24555091,-85.91274868,151.61,238.59,0.7,4370
170a,a,674,1.82,36.24555091,-85.91274868,151.61,238.59,0.7,4370
82a,a,297,1.89,36.24616668,-85.90960892,151.12,323.34,0.64,4496
82b,b,313,1.05,36.24616668,-85.90960892,151.12,323.34,0.64,4496
257b,b,574,0.73,36.24029863,-85.91403182,165.23,237.08,0.44,4370
257a,a,598,2.11,36.24029863,-85.91403182,165.23,237.08,0.44,4370
121a,a,692,1.96,36.24362226,-85.91049032,164.7,2.9,0.66,4496
121b,b,693,1.17,36.24362226,-85.91049032,164.7,2.9,0.66,4496
49a,a,797,1.97,36.24324052,-85.90951062,165.75,34.5,0.68,4496
49b,b,798,0.94,36.24324052,-85.90951062,165.75,34.5,0.68,4496
48a,a,971,1.56,36.24229342,-85.90908029,165.69,106.04,0.68,4496
48b,b,972,1.04,36.24229342,-85.90908029,165.69,106.04,0.68,4496
264b,b,586,1.02,36.24020454,-85.91409689,163.79,245.17,0.57,4370
264a,a,599,1.94,36.24020454,-85.91409689,163.79,245.17,0.57,4370
223a,a,824,1.94,36.2434501,-85.91756192,150.37,315.88,0.7,4496
223b,b,825,0.86,36.2434501,-85.91756192,150.37,315.88,0.7,4496
176b,b,680,0.74,36.24388153,-85.91547178,152.38,241.92,0.74,4370
176a,a,734,1.83,36.24388153,-85.91547178,152.38,241.92,0.74,4370
222b,b,747,0.67,36.24384366,-85.91547935,152.38,241.92,0.74,4370
222a,a,869,1.69,36.24384366,-85.91547935,152.38,241.92,0.74,4370
66b,b,333,1.15,36.24710566,-85.90843949,148.34,17.69,0.55,4496
66a,a,336,2.12,36.24710566,-85.90843949,148.34,17.69,0.55,4496
346a,a,512,2.07,36.24520248,-85.90919969,152.07,273.69,0.66,4370
346b,b,513,1.13,36.24520248,-85.90919969,152.07,273.69,0.66,4370
130a,a,694,1.78,36.24337007,-85.91090921,166.55,163.89,0.73,4496
130b,b,695,1.08,36.24337007,-85.91090921,166.55,163.89,0.73,4496
338a,a,550,1.72,36.24408103,-85.91158153,166.89,354.85,0.73,4496
338b,b,622,1,36.24408103,-85.91158153,166.89,354.85,0.73,4496
244b,b,448,0.5,36.2428611,-85.91664582,152.38,325.19,0.66,4370
244a,a,449,1.89,36.2428611,-85.91664582,152.38,325.19,0.66,4370
245b,b,359,0.66,36.24602373,-85.90960754,151.22,324.22,0.64,4496
245a,a,360,1.56,36.24602373,-85.90960754,151.22,324.22,0.64,4496
258b,b,583,0.89,36.24007625,-85.9140759,164.39,263,0.57,4370
258a,a,584,1.65,36.24007625,-85.9140759,164.39,263,0.57,4370
